date,msg,poland,ukraine,belarus,moldova,hungary,slovakia,romania,latvia,estonia,germany,russia,lithuania,czechia,italy,austria,denmark,sweden,finland,ireland,france,turkey,spain,portugal,slovenia,netherlands,belgium,bulgaria,croatia,united kingdom,macedonia,serbia,bosnia,switzerland,greece,luxembourg,iceland,malta,norway,montenegro,cyprus,albania
2022-03-13,46377.0,396.0,0.0,31.0,85.0,19.0,1.0,46.0,2.0,0.0,75.0,35.0,8.0,23.0,17.0,22.0,4.0,0.0,0.0,0.0,17.0,8.0,12.0,1.0,2.0,4.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-03-14,42719.0,379.0,0.0,29.0,80.0,16.0,2.0,45.0,2.0,0.0,74.0,29.0,9.0,22.0,16.0,21.0,4.0,0.0,0.0,0.0,16.0,9.0,11.0,1.0,2.0,4.0,13.0,11.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022-03-15,40216.0,371.0,0.0,31.0,75.0,16.0,2.0,42.0,2.0,0.0,73.0,26.0,9.0,23.0,13.0,20.0,4.0,0.0,0.0,0.0,16.0,11.0,9.0,1.0,2.0,5.0,13.0,12.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022-03-16,36153.0,335.0,0.0,31.0,59.0,12.0,1.0,40.0,2.0,0.0,74.0,21.0,9.0,19.0,12.0,19.0,3.0,0.0,0.0,0.0,15.0,11.0,9.0,1.0,2.0,5.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022-03-17,32358.0,307.0,0.0,31.0,49.0,13.0,1.0,36.0,2.0,0.0,74.0,21.0,8.0,17.0,10.0,19.0,2.0,0.0,0.0,0.0,15.0,11.0,8.0,1.0,2.0,4.0,12.0,11.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022-03-18,29083.0,274.0,0.0,28.0,48.0,6.0,1.0,32.0,2.0,0.0,71.0,20.0,6.0,15.0,10.0,18.0,2.0,0.0,0.0,0.0,12.0,8.0,8.0,1.0,1.0,4.0,10.0,11.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022-03-19,24406.0,232.0,0.0,27.0,38.0,5.0,1.0,29.0,2.0,0.0,58.0,19.0,5.0,14.0,8.0,11.0,2.0,0.0,0.0,0.0,12.0,10.0,8.0,1.0,1.0,3.0,10.0,11.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022-03-20,20731.0,202.0,0.0,26.0,31.0,5.0,1.0,21.0,2.0,0.0,51.0,18.0,5.0,14.0,8.0,11.0,2.0,0.0,0.0,0.0,12.0,9.0,7.0,1.0,1.0,3.0,9.0,10.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022-03-21,17534.0,177.0,0.0,15.0,27.0,6.0,1.0,17.0,2.0,0.0,52.0,15.0,5.0,18.0,7.0,12.0,2.0,0.0,0.0,0.0,11.0,9.0,7.0,1.0,0.0,3.0,8.0,12.0,0.0,2.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022-03-22,15259.0,156.0,0.0,12.0,22.0,6.0,1.0,14.0,1.0,0.0,45.0,14.0,5.0,17.0,8.0,10.0,1.0,0.0,0.0,0.0,11.0,9.0,8.0,1.0,0.0,3.0,8.0,13.0,0.0,3.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022-03-23,13609.0,145.0,0.0,8.0,17.0,4.0,1.0,13.0,0.0,1.0,40.0,13.0,4.0,16.0,7.0,8.0,1.0,0.0,0.0,0.0,7.0,8.0,7.0,1.0,0.0,3.0,4.0,11.0,0.0,4.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2022-03-24,12421.0,137.0,0.0,7.0,15.0,4.0,1.0,12.0,0.0,1.0,36.0,13.0,4.0,15.0,8.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,5.0,1.0,0.0,2.0,4.0,12.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
